TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
THE WOLF OF THE EAST,OS LOBOS DO LESTE,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,BRASIL,90,2021,TOTAL,NÃO SE APLICA,SIM
THE WOLF OF WALL STREET,O LOBO DE WALL STREET,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1070852,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
THE WOLVERINE,WOLVERINE: IMORTAL,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,185,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
THE WOMAN IN BLACK 2 ANGEL OF DEATH,A MULHER DE PRETO 2 - O ANJO DA MORTE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,REINO UNIDO,357653,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
THE WOMAN KING,A MULHER REI,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1223076,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
THE WOMAN WHO RAN,A MULHER QUE FUGIU,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,CORÉIA DO SUL,2240,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
THE WORST PERSON IN THE WORLD,A PIOR PESSOA DO MUNDO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,DINAMARCA,52620,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
THE WOUND,OS INICIADOS,ZETA FILMES LTDA,ÁFRICA DO SUL,4300,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
THE YOUNG KARL MARX,O JOVEM KARL MARX,ANTONIO FERNANDES FILMES LTDA,ALEMANHA,36978,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
THE YOUNG MESSIAH,O JOVEM MESSIAS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,41245,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
THE ZERO THEOREM,O TEOREMA ZERO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,10823,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
THE ZONE OF INTEREST,ZONA DE INTERESSE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,187777,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
THEEB,O LOBO DO DESERTO,SM DISTRIBUIDORA DE FILMES LTDA,EMIRADOS ÁRABES UNIDOS,8893,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
THELMA,THELMA,MARES FILMES EIRELI,DINAMARCA,7001,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
THELMA & LOUISE,THELMA & LOUISE,CINEMARK BRASIL S.A,ESTADOS UNIDOS,1844,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
THEY SHOT THE PIANO PLAYER,ATIRARAM NO PIANISTA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESPANHA,3123,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
THHREE,TRIÂNGULO AMOROSO,FREDERICO DA CRUZ MACHADO - ME,ALEMANHA,113,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
