TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
A MOÇA DO CALENDÁRIO,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2716,2018
A MULHER DA LUZ PRÓPRIA,,MERCURIO PRODUCOES LTDA,BRASIL,13,2021
A MULHER DO MEU MARIDO,,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ARGENTINA,3018,2019
A MÃE,,IVAN CARLOS DE MELO PRODUÇÕES CULTURAIS,BRASIL,1627,"2022, 2023"
A MÚSICA DO TEMPO - DO SONHO DO IMPÉRIO AO IMPÉRIO DO SONHO,,CIRCUITO CINEARTE LTDA,BRASIL,317,2019
A MÚSICA NATUREZA DE LÉA FREIRE,,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,72,2024
A NAÇÃO QUE NÃO ESPEROU POR DEUS,,VITRINE FILMES LTDA,BRASIL,1344,2015
A NOITE AMARELA,,VITRINE FILMES LTDA,BRASIL,1824,"2019, 2020"
A NOITE DA VIRADA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,348451,"2014, 2015"
A NUVEM ROSA,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,389,"2021, 2022"
A OESTE DO FIM DO MUNDO,,CIRCUITO CINEARTE LTDA,BRASIL,4780,"2014, 2015"
A ONDA DA VIDA,,IDÉIAS IDEAIS DESIGN & PRODUÇÕES LTDA,BRASIL,4711,2014
A OUTRA PELE,,REALIZART PRODUÇÃO AUDIOVISUAL LTDA,ARGENTINA,135,2021
A PAIXÃO SEGUNDO G.H,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,23474,2024
A PARTE DO MUNDO QUE ME PERTENCE,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,571,2019
A PEDRA DA SERPENTE,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,507,2019
A PELADA,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,7521,2014
A PERFECT DAY,UM DIA PERFEITO,ESFERA PRODUÇÕES CULTURAIS EIRELI,ESPANHA,6881,"2016, 2017"
A PONTE DE BAMBU,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,50,2021
A PORTA AO LADO,,VITRINE FILMES LTDA,BRASIL,1017,2023
A PRAGA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1505,"2023, 2024"
A PRIMEIRA MORTE DE JOANA,,LANCA DISTRIBUIDORA DE FILMES LTDA,BRASIL,3922,2023
A PRINCESA DA YAKUZA,,WARNER BROS. (SOUTH) INC.,BRASIL,108,2021
A PROMISE,UMA PROMESSA,MARES FILMES EIRELI,BÉLGICA,12136,"2014, 2015"
